제조사,차종,호수,Product id,,,,
현대,i30 (FD/GD),1,1489862709,,,0,적용불가
현대,i30 N 핫해치 (PD),1,1489862709,,,1,1489862709
현대,i30 (PD),1,1489862709,,,2,1653123805
현대,i30 CW 왜건 (FD),1,1489862709,,,3,1653193759
현대,i40 살룬 (VF),2,1653123805,,,4,1653199641
현대,i40 웨건 (VF),2,1653123805,,,,
현대,그랜드 스타렉스,0,적용불가,,,,
현대,스타리아,0,적용불가,,,,
현대,디올뉴 그랜저 (GN7),2,1653123805,,,,
현대,더뉴 그랜저 (IG),2,1653123805,,,,
현대,그랜저 (IG),2,1653123805,,,,
현대,그랜저 (TG),2,1653123805,,,,
현대,그랜저 (HG),2,1653123805,,,,
현대,그랜저 (XG),2,1653123805,,,,
현대,넥쏘 (FE),3,1653193759,,,,
현대,맥스크루즈 (NC),4,1653199641,,,,
현대,더뉴 맥스크루즈 (NC PE),4,1653199641,,,,
현대,베뉴 (QX1),3,1653193759,,,,
현대,베르나 (LC),1,1489862709,,,,
현대,베르나/트랜스폼 (MC),1,1489862709,,,,
현대,벨로스터 N (JS),1,1489862709,,,,
현대,벨로스터/터보 (FS),1,1489862709,,,,
현대,더올뉴 벨로스터 (JS),1,1489862709,,,,
현대,더뉴 벨로스터/터보 (FS),1,1489862709,,,,
현대,쏘나타 디엣지 (DN8 PE),2,1653123805,,,,
현대,쏘나타/N/센슈어스 (DN8),2,1653123805,,,,
현대,LF 쏘나타/뉴라이즈,2,1653123805,,,,
현대,YF 쏘나타,2,1653123805,,,,
현대,NF 쏘나타/트랜스폼,2,1653123805,,,,
현대,디올뉴 싼타페 (MX5),4,1653199641,,,,
현대,올뉴/더뉴 싼타페 (TM),4,1653199641,,,,
현대,싼타페/더프라임 (DM),4,1653199641,,,,
현대,싼타페/더스타일 (CM),4,1653199641,,,,
현대,싼타페 (SM),3,1653193759,,,,
현대,올뉴/더뉴 아반떼 (CN7),1,1489862709,,,,
현대,아반떼 N (CN7 N),1,1489862709,,,,
현대,더뉴 아반떼 N (CN7 N PE),1,1489862709,,,,
현대,아반떼 스포츠 (AD),1,1489862709,,,,
현대,아반떼 (AD),1,1489862709,,,,
현대,아반떼 (HD),1,1489862709,,,,
현대,아반떼 (MD),1,1489862709,,,,
현대,아반떼 쿠페 (JK),1,1489862709,,,,
현대,아반떼 (HD),1,1489862709,,,,
현대,아슬란 (AG),2,1653123805,,,,
현대,아이오닉 (AE),1,1489862709,,,,
현대,아이오닉 5 (NE1),3,1653193759,,,,
현대,아이오닉 5 (NE1 N),3,1653193759,,,,
현대,더뉴 아이오닉5  (NE1 PE),3,1653193759,,,,
현대,아이오닉 6 (CE1),3,1653193759,,,,
현대,에쿠스 (LZ),2,1653123805,,,,
현대,뉴 에쿠스 (VI),2,1653123805,,,,
현대,엑센트 (RB),1,1489862709,,,,
현대,캐스퍼 (AX1),1,1489862709,,,,
현대,캐스퍼 일렉트릭 (AX1),1,1489862709,,,,
현대,더뉴 캐스퍼 (AX1),1,1489862709,,,,
현대,디올뉴 코나 N (SX2),3,1653193759,,,,
현대,코나 (OS),3,1653193759,,,,
현대,더뉴 코나 (OS),3,1653193759,,,,
현대,코나 N (OS N),3,1653193759,,,,
현대,코나 일렉트릭 (OS EV),3,1653193759,,,,
현대,디올뉴 코나 일렉트릭 (SX2),3,1653193759,,,,
현대,디올뉴 코나 일렉트릭 N (SX2),3,1653193759,,,,
현대,클릭 (TB),1,1489862709,,,,
현대,테라칸 (HP),4,1653199641,,,,
현대,투스카니 (GK),1,1489862709,,,,
현대,디올뉴/ 더뉴 투싼 N (NX4),4,1653199641,,,,
현대,디올뉴/ 더뉴 투싼 (NX4),4,1653199641,,,,
현대,올뉴/더뉴 투싼 (TL),4,1653199641,,,,
현대,투싼 ix (LM),4,1653199641,,,,
현대,투싼 1세대 (JM),3,1653193759,,,,
현대,트라제 XG (FO),4,1653199641,,,,
현대,팰리세이드 (LX2),4,1653199641,,,,
현대,더뉴 팰리세이드 (LX2 PE),4,1653199641,,,,
현대,디올뉴 팰리세이드 (LX3),4,1653199641,,,,
제네시스,제네시스 (BH),2,1653123805,,,,
제네시스,제네시스 (DH),2,1653123805,,,,
제네시스,EQ900 (HI),2,1653123805,,,,
제네시스,더뉴 G70 (IK),2,1653123805,,,,
제네시스,G70 (IK),2,1653123805,,,,
제네시스,G70 슈팅 브레이크 (IK),2,1653123805,,,,
제네시스,G80 (DH),2,1653123805,,,,
제네시스,디올뉴 G80 (RG3),2,1653123805,,,,
제네시스,G80 (RG3 PE),2,1653123805,,,,
제네시스,G80 일렉트리파이드 (RG3),2,1653123805,,,,
제네시스,G90 (HI PE),2,1653123805,,,,
제네시스,G90 (RS4),2,1653123805,,,,
제네시스,GV60 (JW1/JW1 PE),3,1653193759,,,,
제네시스,GV70 (JK1/JK1 PE),4,1653199641,,,,
제네시스,GV70 일렉트리파이드 (JK1 EV),4,1653199641,,,,
제네시스,GV80 (JX1/JX1 PE),4,1653199641,,,,
제네시스,GV80 쿠페 (JX1 CUV),4,1653199641,,,,
제네시스,제네시스 쿠페 (BK),2,1653123805,,,,
제네시스,더뉴 제네시스 쿠페 (BK),2,1653123805,,,,
기아,EV3 (SV1),1,1489862709,,,,
기아,EV4 (CT1),1,1489862709,,,,
기아,EV6 (CT1),2,1653123805,,,,
기아,더뉴 EV6 (CV1 PE),2,1653123805,,,,
기아,EV9 (MV1),4,1653199641,,,,
기아,올뉴/더뉴 K3 (BD),1,1489862709,,,,
기아,K3 (YD),1,1489862709,,,,
기아,더뉴 K3 (YD),1,1489862709,,,,
기아,K3 쿱 (YK),1,1489862709,,,,
기아,올뉴/더뉴 K5 (DL3),2,1653123805,,,,
기아,올뉴/더뉴 K5 (JF),2,1653123805,,,,
기아,더뉴 K5 (TF PE),2,1653123805,,,,
기아,K5 (TF),2,1653123805,,,,
기아,더뉴 K8 (GL3 PE),2,1653123805,,,,
기아,올뉴 K7/프리미어 (YG),2,1653123805,,,,
기아,더뉴 K7 (VG PE),2,1653123805,,,,
기아,K7 (VG),2,1653123805,,,,
기아,K8 (GL3),2,1653123805,,,,
기아,더뉴 K9 (KH PE),2,1653123805,,,,
기아,더/더뉴 K9 2세대 (RJ),2,1653123805,,,,
기아,K9 (KH),2,1653123805,,,,
기아,디올뉴 니로 (SG2),3,1653193759,,,,
기아,디올뉴 니로 EV (SG2 EV),3,1653193759,,,,
기아,더뉴 니로 (DE),3,1653193759,,,,
기아,니로 플러스 (DE PBV EV),3,1653193759,,,,
기아,니로 (DE),3,1653193759,,,,
기아,니로 EV (DE EV),2,1653123805,,,,
기아,로체/어드벤스/이노베이션 (MG),2,1653123805,,,,
기아,레이,0,적용불가,,,,
기아,모닝 (SA),1,1489862709,,,,
기아,올뉴/ 더뉴 모닝 (TA),1,1489862709,,,,
기아,올뉴/ 더뉴 모닝 (JA),1,1489862709,,,,
기아,모닝 어반 (JA PE),1,1489862709,,,,
기아,모하비 더 마스터 (HM),4,1653199641,,,,
기아,더뉴 모하비 (HM),4,1653199641,,,,
기아,모하비 (HM),4,1653199641,,,,
기아,셀토스 (SP2),3,1653193759,,,,
기아,더뉴 셀토스 (SP2),3,1653193759,,,,
기아,스토닉 (YB),3,1653193759,,,,
기아,스팅어 (CK),2,1653123805,,,,
기아,스팅어 더마이스터 (CK),2,1653123805,,,,
기아,디올뉴 스포티지 (NQ5),4,1653199641,,,,
기아,스포티지 더 볼트 (QL PE),4,1653199641,,,,
기아,올뉴/더 SUV 스포티지 (QL),4,1653199641,,,,
기아,더뉴 스포티지 R (SL PE),4,1653199641,,,,
기아,스포티지 R (SL),4,1653199641,,,,
기아,뉴 스포티지 (KM),3,1653193759,,,,
기아,쎄라토 (LD),1,1489862709,,,,
기아,뉴 쎄라토 (LD),1,1489862709,,,,
기아,올튜/더뉴 쏘렌토 (UM),4,1653199641,,,,
기아,쏘렌토 더 마스터 (UM),4,1653199641,,,,
기아,쏘렌토 R (XM),4,1653199641,,,,
기아,더뉴 쏘렌토 (MQ4 PE),4,1653199641,,,,
기아,쏘렌토 (MQ4),4,1653199641,,,,
기아,쏘울 부스터 (SK3),3,1653193759,,,,
기아,올뉴/더뉴 쏘울 (PS),3,1653193759,,,,
기아,쏘울 (AM),3,1653193759,,,,
기아,카니발 (KA4),4,1653199641,,,,
기아,올뉴/더뉴 카니발 (YP),4,1653199641,,,,
기아,그랜드 카니발 (VQ),3,1653193759,,,,
기아,올뉴/더뉴 카렌스 (RP),3,1653193759,,,,
기아,뉴 카렌스 (UN),3,1653193759,,,,
기아,포르테 (TD),1,1489862709,,,,
기아,포르테 쿱 (XK),1,1489862709,,,,
기아,올뉴/더뉴 프라이드 (UB),1,1489862709,,,,
기아,뉴 프라이드 (JB),1,1489862709,,,,
기아,카니발 하이리무진/아웃도어,0,적용불가,,,,
쉐보레,라세티 프리미어,1,1489862709,,,,
쉐보레,라세티,1,1489862709,,,,
쉐보레,레간자,1,1489862709,,,,
쉐보레,레조,3,1653193759,,,,
쉐보레,마티즈 크리에이티브,1,1489862709,,,,
쉐보레,마티즈1/2,1,1489862709,,,,
쉐보레,올뉴 마티즈,1,1489862709,,,,
쉐보레,마티즈 클래식,1,1489862709,,,,
쉐보레,올뉴/더뉴 말리부 (V400),2,1653123805,,,,
쉐보레,말리부 (V300),2,1653123805,,,,
쉐보레,매그너스 (V200),2,1653123805,,,,
쉐보레,볼트 (D2JCI),1,1489862709,,,,
쉐보레,더뉴 스파크 (M350),1,1489862709,,,,
쉐보레,더 넥스트 스파크 (M400),1,1489862709,,,,
쉐보레,스파크 (M300/M350),1,1489862709,,,,
쉐보레,아베오 (T300),1,1489862709,,,,
쉐보레,더뉴 아베오 (T350),1,1489862709,,,,
쉐보레,올란도 (J309),4,1653199641,,,,
쉐보레,윈스톰,4,1653199641,,,,
쉐보레,이쿼녹스 (D2UC),4,1653199641,,,,
쉐보레,더 넥스트 이쿼녹스 (D2UC),4,1653199641,,,,
쉐보레,임팔라,2,1653123805,,,,
쉐보레,캡티바 (C140),4,1653199641,,,,
쉐보레,콜로라도,0,적용불가,,,,
쉐보레,올뉴 크루즈 (D2LC),1,1489862709,,,,
쉐보레,더 퍼팩트 크루즈 (J350),1,1489862709,,,,
쉐보레,G2 크루즈 (J350),1,1489862709,,,,
쉐보레,크루즈5 (J300),1,1489862709,,,,
쉐보레,크루즈 (J300),1,1489862709,,,,
쉐보레,어메이징 뉴 크루즈 (J350),1,1489862709,,,,
쉐보레,토스카,2,1653123805,,,,
쉐보레,트래버스,0,적용불가,,,,
쉐보레,트랙스 크로스오버 (9BQC),3,1653193759,,,,
쉐보레,더뉴 트랙스 (U200),3,1653193759,,,,
쉐보레,트랙스 (U200),3,1653193759,,,,
쉐보레,트레일 블래이저 (9BYC),3,1653193759,,,,
쉐보레,더뉴 트레일 블레이저 (9BYC),3,1653193759,,,,
쉐보레,타호,0,적용불가,,,,
르노코리아,SM3 Z.E (L38),1,1489862709,,,,
르노코리아,SM3 네오 (L38 PH3),1,1489862709,,,,
르노코리아,뉴 SM3 (L38),1,1489862709,,,,
르노코리아,뉴 SM3 (L38 PH3),1,1489862709,,,,
르노코리아,SM3 CE (CF),1,1489862709,,,,
르노코리아,SM3 뉴 제너레이션 (CF),1,1489862709,,,,
르노코리아,SM3 (N17),1,1489862709,,,,
르노코리아,뉴 SM5 노바 (L43 PH3),2,1653123805,,,,
르노코리아,뉴 SM5 플래티넘 (L43 PH2),2,1653123805,,,,
르노코리아,뉴 SM5 (L43),2,1653123805,,,,
르노코리아,뉴 SM5 (EX1),2,1653123805,,,,
르노코리아,SM5 뉴 임프레션 (DF),2,1653123805,,,,
르노코리아,SM5 (518/520/525),1,1489862709,,,,
르노코리아,더뉴 SM6 (LFD PH2),2,1653123805,,,,
르노코리아,SM6 (LFD),2,1653123805,,,,
르노코리아,SM7 노바 (L47),2,1653123805,,,,
르노코리아,올뉴 SM7 (L47),2,1653123805,,,,
르노코리아,SM7 뉴아트 (LF),2,1653123805,,,,
르노코리아,SM7 (EX2),2,1653123805,,,,
르노코리아,QM3,3,1653193759,,,,
르노코리아,뉴 QM3,3,1653193759,,,,
르노코리아,캡처 (HJB),3,1653193759,,,,
르노코리아,QM5 (H45),4,1653199641,,,,
르노코리아,QM5 네오 (H45 PH3),4,1653199641,,,,
르노코리아,뉴 QM5 (H45 PH2),4,1653199641,,,,
르노코리아,QM6 (HZG),4,1653199641,,,,
르노코리아,더뉴 QM6 (HZG),4,1653199641,,,,
르노코리아,QM6 퀘스트 (HZG),4,1653199641,,,,
르노코리아,그랑 콜레오스 (AR1),4,1653199641,,,,
르노코리아,XM3,3,1653193759,,,,
르노코리아,아르카나 (LJL),3,1653193759,,,,
르노코리아,클리오 (BH),1,1489862709,,,,
르노코리아,조에,1,1489862709,,,,
KGM(쌍용),G4 렉스턴 (Y400),4,1653199641,,,,
KGM(쌍용),렉스턴 W (Y290~Y292),4,1653199641,,,,
KGM(쌍용),슈퍼 렉스턴 (Y285~Y289),4,1653199641,,,,
KGM(쌍용),렉스턴2 (Y250),4,1653199641,,,,
KGM(쌍용),뉴 렉스턴 (Y220~Y230),4,1653199641,,,,
KGM(쌍용),뉴 렉스턴 스포츠 (Q250),4,1653199641,,,,
KGM(쌍용),렉스턴 (Y200),4,1653199641,,,,
KGM(쌍용),올 뉴 렉스턴 (Y450),4,1653199641,,,,
KGM(쌍용),렉스턴 스포츠 쿨멘 (Q261),4,1653199641,,,,
KGM(쌍용),무쏘 스포츠 (Q250),4,1653199641,,,,
KGM(쌍용),렉스턴 뉴 아레나 (Y461),4,1653199641,,,,
KGM(쌍용),렉스턴 스포츠 (Q200),4,1653199641,,,,
KGM(쌍용),더뉴 렉스턴 스포츠 (Q215),4,1653199641,,,,
KGM(쌍용),무쏘 EV,0,적용불가,,,,
KGM(쌍용),로디우스,0,적용불가,,,,
KGM(쌍용),액티언 2세대 (J120),4,1653199641,,,,
KGM(쌍용),액티언 1세대 (C100),3,1653193759,,,,
KGM(쌍용),액티언 스포츠 (Q100),4,1653199641,,,,
KGM(쌍용),체어맨 W (W200),2,1653123805,,,,
KGM(쌍용),체어맨 (W100),2,1653123805,,,,
KGM(쌍용),체어맨 리무진,0,적용불가,,,,
KGM(쌍용),카이런 (D100),4,1653199641,,,,
